죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
강력범죄,소계,2267,109,31,24,0,0,1,53,6,2,3,228,64,676,7,23,470,679,2358,189,36,46,0,0,2,105,5,0,4,260,60,628,3,25,592,592,1898,232,35,57,3,0,3,134,11,1,3,259,40,499,9,19,430,395,1648,149,29,58,1,0,0,61,16,0,8,263,43,480,3,26,471,189,1808,155,26,43,2,0,0,84,17,0,0,301,37,491,4,38,474,291
강력범죄,살인기수,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3
강력범죄,살인미수등,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
강력범죄,강도,214,73,31,24,0,0,0,18,1,1,1,1,4,37,1,0,25,70,361,152,34,46,0,0,2,70,5,0,0,9,0,34,0,0,61,100,321,172,31,52,3,0,3,83,6,1,0,6,1,42,2,1,20,70,175,113,29,56,1,0,0,27,7,0,1,4,1,22,2,2,21,2,169,110,23,43,2,0,0,42,5,0,0,2,1,17,1,0,32,1
강력범죄,강간,752,17,0,0,0,0,1,16,3,1,0,65,30,191,1,10,173,261,638,14,0,0,0,0,0,14,0,0,1,65,25,170,0,3,184,176,565,28,1,5,0,0,0,22,2,0,0,65,14,134,1,1,174,146,519,19,0,2,0,0,0,17,5,0,1,53,20,154,0,3,174,90,468,19,1,0,0,0,0,18,3,0,0,53,15,114,1,4,138,121
강력범죄,유사강간,128,2,0,0,0,0,0,2,0,0,0,14,5,45,0,0,32,30,140,2,0,0,0,0,0,2,0,0,0,18,3,43,0,2,41,31,94,3,0,0,0,0,0,3,1,0,0,18,5,30,0,1,23,13,105,4,0,0,0,0,0,4,0,0,0,16,3,35,0,0,29,18,95,2,0,0,0,0,0,2,0,0,0,17,4,28,0,0,31,13
강력범죄,강제추행,972,14,0,0,0,0,0,14,2,0,0,134,22,335,2,10,212,241,981,20,2,0,0,0,0,18,0,0,0,141,25,327,1,17,253,197,738,25,2,0,0,0,0,23,1,0,1,146,15,251,1,9,181,108,718,10,0,0,0,0,0,10,4,0,1,153,15,238,1,18,204,74,900,20,2,0,0,0,0,18,4,0,0,186,12,278,1,32,237,130
강력범죄,기타 강간·강제추행등,83,3,0,0,0,0,0,3,0,0,0,5,3,38,0,2,14,18,120,1,0,0,0,0,0,1,0,0,0,11,7,32,0,0,36,33,72,2,1,0,0,0,0,1,1,0,0,3,5,19,0,3,24,15,44,2,0,0,0,0,0,2,0,0,0,6,4,11,0,0,17,4,66,2,0,0,0,0,0,2,4,0,0,6,5,17,0,0,14,18
강력범죄,방화,109,0,0,0,0,0,0,0,0,0,1,9,0,28,1,1,11,58,99,0,0,0,0,0,0,0,0,0,1,16,0,14,0,3,11,54,99,2,0,0,0,0,0,2,0,0,1,21,0,20,3,4,5,43,76,1,0,0,0,0,0,1,0,0,1,31,0,19,0,3,20,1,95,1,0,0,0,0,0,1,1,0,0,37,0,33,1,2,18,2
지능범죄,소계,9801,2665,1185,382,55,9,0,1034,216,0,4,327,78,634,13,180,1719,3965,10652,2970,1333,316,103,6,0,1212,237,0,3,335,63,728,12,141,1684,4479,11732,3833,1700,385,116,35,2,1595,290,0,5,599,130,1099,15,235,2353,3173,8458,3381,1607,283,141,22,4,1324,278,0,3,547,123,902,6,205,2136,877,9011,3228,1554,261,107,22,1,1283,306,1,6,567,134,1166,13,259,2302,1029
지능범죄,사기,6919,2473,1154,375,55,9,0,880,164,0,4,61,24,271,9,95,1090,2728,8049,2821,1320,304,102,6,0,1089,199,0,3,73,13,380,10,78,1181,3291,9161,3645,1676,369,116,29,2,1453,248,0,5,191,66,587,12,175,1742,2490,6816,3198,1575,272,141,20,2,1188,239,0,2,162,88,490,6,148,1660,823,6744,2964,1495,250,107,14,1,1097,249,0,4,167,59,570,8,170,1628,925
마약범죄,소계,56,7,3,3,0,0,0,1,0,0,0,11,6,2,0,0,17,13,71,4,1,0,0,0,0,3,1,0,0,16,2,2,1,3,16,26,132,3,0,2,0,0,0,1,0,0,0,60,4,10,2,1,34,18,180,5,2,0,0,0,0,3,1,0,0,103,4,11,0,2,46,8,199,15,8,0,0,0,0,7,1,0,0,83,13,10,4,24,44,5
