죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
강력범죄,소계,28302,1160,242,67,13,0,10,828,63,15,210,1021,762,10224,219,631,7504,6493,28943,1390,249,122,11,1,15,992,88,24,206,1117,735,9801,174,738,7812,6858,26971,1165,177,91,8,0,12,877,107,20,192,928,649,9228,158,631,7199,6694,22992,869,152,69,7,1,10,630,89,14,175,789,596,7757,130,519,6902,5152,25017,886,131,74,16,5,4,656,84,14,132,866,525,8381,144,573,7350,6062
강력범죄,살인기수,350,6,1,1,0,0,1,3,0,2,33,0,1,115,21,0,94,78,345,6,1,0,0,0,2,3,1,6,24,0,0,101,22,2,89,94,341,5,2,0,0,0,2,1,1,6,23,0,3,116,11,3,82,91,307,10,0,0,0,0,3,7,0,4,26,0,0,87,15,1,81,83,298,11,2,0,1,1,0,7,1,4,17,1,0,98,13,2,66,85
강력범죄,살인미수등,516,10,1,0,0,0,1,8,0,2,36,0,1,258,29,1,117,62,525,3,0,0,0,0,1,2,0,9,43,0,0,215,28,3,139,85,454,6,1,0,0,0,1,4,0,4,35,0,0,189,33,6,99,82,409,10,1,0,0,0,2,7,0,6,34,0,0,159,24,1,117,58,429,5,0,0,1,0,0,4,0,4,29,1,0,172,29,3,120,66
강력범죄,강도,1165,470,217,64,12,0,0,177,22,3,2,5,13,241,11,4,205,189,1336,614,207,118,9,1,5,274,28,0,3,12,5,199,5,10,240,220,1202,507,152,83,8,0,4,260,27,1,3,8,7,230,3,8,196,212,748,347,130,67,5,0,0,145,21,0,3,5,2,118,3,2,153,94,764,381,113,72,13,1,2,180,13,0,3,3,2,124,7,3,155,73
강력범죄,강간,5947,212,8,1,1,0,4,198,10,2,35,180,237,1562,15,58,1427,2209,6138,233,14,2,1,0,0,216,11,0,38,194,216,1556,15,45,1573,2257,6113,227,8,6,0,0,3,210,23,2,34,190,189,1517,15,59,1601,2256,5593,171,7,2,2,0,0,160,22,1,33,169,249,1390,12,55,1627,1864,5606,173,4,1,1,1,2,164,17,3,17,199,196,1349,8,60,1560,2024
강력범죄,유사강간,848,31,1,0,0,0,0,30,4,1,4,40,38,305,0,10,228,187,895,35,2,2,0,0,1,30,2,0,6,57,34,292,1,13,230,225,934,36,1,0,0,0,0,35,8,0,4,40,40,299,2,10,259,236,834,20,0,0,0,0,1,19,3,0,3,46,30,277,0,7,249,199,917,18,0,0,0,0,0,18,4,0,4,51,25,321,1,12,285,196
강력범죄,강제추행,17631,375,8,0,0,0,4,363,25,1,28,750,456,6946,34,506,5007,3503,17892,437,8,0,0,0,5,424,44,1,26,796,455,6730,17,614,5098,3674,16382,348,10,0,0,0,2,336,44,0,29,643,394,6259,12,492,4596,3565,13882,275,9,0,0,1,3,262,41,1,21,519,304,5238,15,414,4331,2723,15574,265,7,0,0,2,0,256,42,0,20,551,285,5713,12,459,4798,3429
강력범죄,기타 강간·강제추행등,458,32,4,1,0,0,0,27,2,0,3,23,14,164,0,11,124,85,495,41,14,0,0,0,1,26,0,0,2,33,25,162,1,11,142,78,349,19,1,1,0,0,0,17,4,0,2,15,16,99,1,7,119,67,271,21,2,0,0,0,0,19,1,0,2,11,11,82,2,1,100,40,283,12,0,1,0,0,0,11,5,0,2,14,17,93,2,2,87,49
강력범죄,방화,1387,24,2,0,0,0,0,22,0,4,69,23,2,633,109,41,302,180,1317,21,3,0,1,0,0,17,2,8,64,25,0,546,85,40,301,225,1196,17,2,1,0,0,0,14,0,7,62,32,0,519,81,46,247,185,948,15,3,0,0,0,1,11,1,2,53,39,0,406,59,38,244,91,1146,21,5,0,0,0,0,16,2,3,40,46,0,511,72,32,279,140
지능범죄,소계,292114,56411,22147,2020,1494,161,373,30216,4480,2,44,730,872,11011,164,8110,63285,147005,308782,63060,24422,1885,1599,157,305,34692,4979,3,38,596,822,11895,168,9516,68702,149003,307706,64987,26472,2041,1799,144,221,34310,4731,0,42,918,920,12469,149,7893,67291,148306,210381,51130,22838,1166,1748,115,173,25090,3668,1,21,845,708,10020,82,5116,51490,87300,219700,51004,23310,1080,1884,162,86,24482,3795,4,50,894,732,11209,114,5158,51448,95292
지능범죄,사기,229854,48581,20164,1892,1402,139,309,24675,3677,2,27,291,590,5968,136,5909,49978,114695,246160,54950,22544,1756,1505,142,244,28759,4217,2,15,156,566,6372,141,7422,55488,116831,245009,56910,24476,1921,1705,122,171,28515,4049,0,22,311,651,6496,129,6002,54421,116018,162836,44998,21305,1096,1671,102,146,20678,3128,1,16,268,504,4621,57,3484,40617,65142,169528,44391,21544,1012,1807,142,59,19827,3241,1,34,278,479,5019,92,3343,40391,72259
마약범죄,소계,7677,424,122,9,1,2,3,287,67,0,12,612,1209,686,108,717,3043,799,9875,659,206,16,8,2,0,427,77,2,23,1081,1319,880,141,716,4012,965,11630,673,252,14,2,4,1,400,87,0,19,1207,1217,1067,155,970,5193,1042,10173,684,191,11,2,2,0,478,83,1,13,1210,965,995,137,615,4420,1050,11948,776,203,8,3,6,1,555,104,0,11,1492,1027,1284,149,757,5411,937
