죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
강력범죄,소계,639,21,1,0,1,0,0,19,2,2,11,63,15,259,23,7,228,8,600,18,2,0,0,0,1,15,2,0,6,55,7,243,15,9,240,5,596,17,2,2,1,0,0,12,1,1,14,40,9,248,23,16,221,6,545,11,0,0,0,0,0,11,2,1,12,30,15,237,16,13,208,0,567,26,4,0,0,0,0,22,1,1,9,46,10,225,23,15,211,0
강력범죄,살인기수,28,0,0,0,0,0,0,0,0,1,2,0,0,15,0,0,10,0,20,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,9,0,21,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,9,0,20,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,9,0,15,0,0,0,0,0,0,0,0,1,1,0,0,5,2,1,5,0
강력범죄,살인미수등,31,1,0,0,0,0,0,1,0,0,4,0,0,13,1,0,12,0,35,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,20,0,29,1,0,0,0,0,0,1,0,0,5,0,0,11,6,0,6,0,30,0,0,0,0,0,0,0,0,1,6,0,0,9,3,0,11,0,29,0,0,0,0,0,0,0,0,0,3,0,0,10,5,0,11,0
강력범죄,강도,32,11,1,0,1,0,0,9,2,0,0,0,0,12,0,0,6,1,25,6,2,0,0,0,0,4,1,0,0,0,0,9,0,0,8,1,37,11,1,2,1,0,0,7,1,0,0,0,1,11,0,2,11,0,14,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,9,0,27,11,4,0,0,0,0,7,0,0,0,0,0,8,0,0,8,0
강력범죄,강간,23,0,0,0,0,0,0,0,0,0,0,2,1,9,0,1,10,0,21,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,15,0,24,0,0,0,0,0,0,0,2,0,0,2,2,3,0,0,15,0,26,2,0,0,0,0,0,2,0,0,0,3,2,9,0,0,10,0
강력범죄,유사강간,8,1,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0
강력범죄,강제추행,374,8,0,0,0,0,0,8,0,0,1,50,13,154,3,5,134,6,347,9,0,0,0,0,0,9,0,0,0,44,6,151,1,6,126,4,320,5,1,0,0,0,0,4,0,0,1,34,7,138,1,9,121,4,325,8,0,0,0,0,0,8,0,0,0,24,12,161,2,9,109,0,315,11,0,0,0,0,0,11,0,0,0,38,8,125,3,11,119,0
강력범죄,기타 강간·강제추행등,9,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,0,6,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
강력범죄,방화,134,0,0,0,0,0,0,0,0,1,4,5,1,52,19,1,50,1,136,1,0,0,0,0,0,1,1,0,4,5,0,50,11,3,61,0,142,0,0,0,0,0,0,0,0,0,8,5,0,60,15,1,51,2,116,2,0,0,0,0,0,2,0,0,5,3,0,48,10,3,45,0,142,1,0,0,0,0,0,1,1,0,5,4,0,63,13,3,52,0
지능범죄,소계,454,98,29,10,3,0,0,56,20,0,0,4,3,123,2,25,172,7,493,135,46,9,4,1,0,75,13,0,0,8,6,126,3,21,169,12,694,177,69,2,1,0,0,105,17,0,1,10,7,166,3,29,277,7,622,156,71,1,1,1,1,81,13,0,1,12,10,142,0,25,261,2,777,187,61,3,4,3,0,116,23,0,0,23,5,201,1,25,312,0
지능범죄,사기,261,71,25,8,3,0,0,35,9,0,0,1,1,49,2,8,115,5,253,78,32,5,3,0,0,38,6,0,0,1,1,45,2,9,107,4,398,113,50,1,1,0,0,61,8,0,1,1,3,66,3,14,185,4,345,106,57,1,1,0,0,47,8,0,1,2,3,50,0,14,160,1,383,114,51,3,3,2,0,55,11,0,0,7,3,67,1,16,164,0
마약범죄,소계,171,3,1,0,0,0,0,2,4,0,3,19,39,14,6,6,77,0,169,5,0,0,0,0,0,5,2,0,2,10,37,25,7,4,76,1,342,4,0,0,0,0,0,4,2,0,0,26,80,38,6,5,181,0,282,10,3,0,0,0,0,7,4,1,0,25,70,31,9,8,124,0,279,13,0,0,1,0,0,12,3,0,0,21,44,38,15,7,138,0
