범행도구별(1),범행도구별(2),2017,2018,2019,2020,2021,2022
계,소계,1413717,1328609,1342854,1289129,1136665,1133788
소지,소계,244504,217667,205590,191755,177669,188727
소지,총기,93,90,88,58,46,59
소지,모의총기,78,99,72,72,86,91
소지,칼,7932,8363,9174,8519,8627,9046
소지,도끼 낫 농기구류,445,473,456,430,489,488
소지,유리병,4372,4557,4430,4125,3355,3939
소지,돌,2100,2007,2394,1907,1761,1803
소지,몽둥이,1596,1527,1433,1376,1397,1357
소지,공구,8970,8712,8203,7686,7131,6786
소지,줄 끈 테이프 밧줄 전선,593,288,377,392,288,329
소지,마취제,15,18,28,9,7,10
소지,독극물,250,230,283,236,160,614
소지,컴퓨터,7141,7290,5610,5006,4078,3740
소지무,소계,1169213,1110942,1137264,1097374,958996,945061
