"범죄별","범행연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","계","범죄자 연령[명]","명","1948966","2020196","1861796","1749459","1754808","1638387","1359952",
"합계","14세미만","범죄자 연령[명]","명","64","84","93","","","","",
"합계","14세","범죄자 연령[명]","명","7","7530","7703","8321","9053","9124","8091",
"합계","15세","범죄자 연령[명]","명","14387","13789","12376","11595","11730","11956","10301",
"합계","16세","범죄자 연령[명]","명","17624","17589","16391","13306","13548","13578","11594",
"합계","17세","범죄자 연령[명]","명","18231","17607","17358","15513","14338","13725","11211",
"합계","18세","범죄자 연령[명]","명","20722","19401","18838","17407","17578","16097","12820",
"합계","19세","범죄자 연령[명]","명","24079","22963","20882","19414","20511","19858","15060",
"합계","20세","범죄자 연령[명]","명","19307","20759","19396","18017","18351","19460","16031",
"합계","21세","범죄자 연령[명]","명","19177","20405","20275","18463","19579","19532","17735",
"합계","22세","범죄자 연령[명]","명","25344","25995","24202","22938","22538","21748","18948",
"합계","23세","범죄자 연령[명]","명","28108","30181","27377","25347","25012","23647","19935",
"합계","24세","범죄자 연령[명]","명","27533","32003","30427","26865","26398","24988","21426",
"합계","25세","범죄자 연령[명]","명","28261","31053","31726","29421","28007","25621","22757",
"합계","26~30세","범죄자 연령[명]","명","153167","158537","144360","133269","137049","129654","113807",
"합계","31~35세","범죄자 연령[명]","명","190059","194990","164623","140005","131076","116195","98260",
"합계","36~40세","범죄자 연령[명]","명","186159","198261","180967","168897","169713","151650","122090",
"합계","41~45세","범죄자 연령[명]","명","238266","236612","203467","180180","172082","151885","126475",
"합계","46~50세","범죄자 연령[명]","명","257734","262341","237828","220190","216817","190437","150503",
"합계","51~55세","범죄자 연령[명]","명","254352","256499","227841","212241","210138","195650","158189",
"합계","56~60세","범죄자 연령[명]","명","181159","197955","196968","195107","203731","185680","148081",
"합계","61~70세","범죄자 연령[명]","명","140884","159803","165006","173427","193466","192688","172000",
"합계","71세이상","범죄자 연령[명]","명","44335","49298","50133","54163","62784","63312","59130",
"형법범","계","범죄자 연령[명]","명","993932","1007048","962775","963276","990685","943415","740929",
"형법범","14세미만","범죄자 연령[명]","명","45","65","38","","","","",
"형법범","14세","범죄자 연령[명]","명","7","6952","7053","7713","8322","8102","7196",
"형법범","15세","범죄자 연령[명]","명","12625","12003","10642","10233","10399","10149","8781",
"형법범","16세","범죄자 연령[명]","명","14402","13962","12842","10790","11105","10576","8951",
"형법범","17세","범죄자 연령[명]","명","14258","13581","13270","12070","11090","10127","8079",
"형법범","18세","범죄자 연령[명]","명","15625","14599","14410","13399","13581","12015","9381",
"형법범","19세","범죄자 연령[명]","명","17296","16435","15271","14557","15228","14533","10485",
"형법범","20세","범죄자 연령[명]","명","13505","14272","13575","13222","13523","14151","11048",
"형법범","21세","범죄자 연령[명]","명","12480","13329","13710","12948","13923","13581","11590",
"형법범","22세","범죄자 연령[명]","명","15598","15640","15283","15047","14995","14546","11901",
"형법범","23세","범죄자 연령[명]","명","16075","17244","15930","15544","15538","14931","11960",
"형법범","24세","범죄자 연령[명]","명","14727","16763","16578","15488","15568","15330","12483",
"형법범","25세","범죄자 연령[명]","명","13972","14966","16314","16019","15824","15357","12839",
"형법범","26~30세","범죄자 연령[명]","명","68748","69480","67185","66270","70761","71191","59220",
"형법범","31~35세","범죄자 연령[명]","명","88629","88266","77808","71045","68368","61828","48651",
