year,theft_method_classification,theft_method,incident_count,arrest_count
2017,침입절도,공장절도,393,289
2017,비침입절도,날치기절도,168,127
2017,침입절도,빈집절도,8109,4670
2017,침입절도,사무실절도,1711,1257
2017,침입절도,상점절도,7684,6565
2017,비침입절도,소매치기절도,821,317
2017,침입절도,숙박업소절도,498,380
2017,비침입절도,치기절도-기타,5163,3798
2017,비침입절도,들치기절도,18658,11579
2017,비침입절도,속임수절도,1792,1431
2018,침입절도,공장절도,393,324
2018,비침입절도,날치기절도,174,120
2018,침입절도,빈집절도,7414,3877
2018,침입절도,사무실절도,1291,976
2018,침입절도,상점절도,7348,6132
2018,비침입절도,소매치기절도,576,231
2018,침입절도,숙박업소절도,484,320
2018,비침입절도,치기절도-기타,4724,3582
2018,비침입절도,들치기절도,18473,11066
2018,비침입절도,속임수절도,1504,1217
2019,침입절도,공장절도,347,260
2019,비침입절도,날치기절도,107,85
2019,침입절도,빈집절도,6394,3411
2019,침입절도,사무실절도,1162,892
2019,침입절도,상점절도,6918,5964
2019,비침입절도,소매치기절도,534,217
2019,침입절도,숙박업소절도,384,261
2019,비침입절도,치기절도-기타,4741,3621
2019,비침입절도,들치기절도,18661,11116
2019,비침입절도,속임수절도,1593,1293
2020,침입절도,공장절도,317,271
2020,비침입절도,날치기절도,85,61
2020,침입절도,빈집절도,4847,2746
2020,침입절도,사무실절도,1014,773
2020,침입절도,상점절도,5635,4933
2020,비침입절도,소매치기절도,324,134
2020,침입절도,숙박업소절도,344,242
2020,비침입절도,치기절도-기타,4406,3482
2020,비침입절도,들치기절도,15890,9554
2020,비침입절도,속임수절도,1382,1121
2021,침입절도,공장절도,269,199
2021,비침입절도,날치기절도,67,46
2021,침입절도,빈집절도,3177,1570
2021,침입절도,사무실절도,829,657
2021,침입절도,상점절도,4941,4288
2021,비침입절도,소매치기절도,272,133
2021,침입절도,숙박업소절도,287,230
2021,비침입절도,치기절도-기타,4061,3343
2021,비침입절도,들치기절도,12862,7768
2021,비침입절도,속임수절도,1035,815
2022,침입절도,공장절도,315,265
2022,비침입절도,날치기절도,40,36
2022,침입절도,빈집절도,3183,1799
2022,침입절도,사무실절도,623,466
2022,침입절도,상점절도,4055,3660
2022,비침입절도,소매치기절도,278,142
2022,침입절도,숙박업소절도,241,187
2022,비침입절도,치기절도-기타,4482,3632
2022,비침입절도,들치기절도,12392,7548
2022,비침입절도,속임수절도,1005,798
