"범죄별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
"합계",574494,38513,34692,528,154083,26529,3668,12939,37732,14504,2831,2899,1287,3597,2596,3909,769,3705,3305,4598,4250,1922,4540,577,90,360,77,209994,555866,60271,49632,562,159894,39659,8270,17988,60156,17274,3359,3875,1613,4881,2939,7627,1212,4765,4262,5585,5549,2519,5165,854,132,388,165,87270,572345,71770,52033,615,163998,43903,8893,17507,60540,16853,3431,3582,1906,4907,2954,7111,1390,5133,4697,5225,5848,2300,5870,594,141,344,163,80637,542546,73131,48922,590,155330,44390,7695,14656,50734,16519,3498,2985,1621,3993,2073,6439,1014,4110,2496,4215,5343,1458,6236,643,140,334,125,83856,491765,76422,45726,524,138881,45331,7116,13721,28870,13444,3235,2911,1700,3366,2042,5668,785,3906,3030,3203,4695,1193,6150,432,105,322,106,78881
"절도",184355,7038,9045,144,36808,20111,1803,3559,9985,3096,1022,1310,883,1034,496,1508,370,1186,1005,4276,1300,1051,2276,92,21,7,32,74897,177458,11519,11544,165,39959,29574,4100,6254,15445,3576,1179,1800,1175,1681,617,3094,670,1914,1441,5080,1619,988,2763,97,19,7,74,31104,187629,14345,11450,181,45543,33921,4677,6142,15700,3241,1066,1604,1321,1832,603,2610,760,2052,1776,4659,1762,1026,3265,69,18,6,82,27918,180067,16703,10197,161,46862,34609,3951,4326,12642,3330,1261,1175,1068,1557,540,2444,486,1585,852,3660,1362,605,3536,94,12,7,58,26984,166782,16485,8535,99,46374,36591,3971,2666,7116,2288,970,1206,1179,1137,447,1824,364,1493,1026,2881,1139,440,3514,71,9,9,56,24892
"장물",1934,63,71,-,649,225,38,13,71,99,91,9,10,26,5,28,3,30,26,20,5,2,-,10,1,-,1,438,965,49,33,-,312,139,14,9,36,69,21,8,7,16,2,8,3,6,18,16,1,1,-,2,-,-,-,195,925,36,15,-,203,100,9,8,15,60,87,14,87,22,5,11,-,1,3,20,3,-,-,1,-,-,-,225,616,35,28,-,150,123,9,-,10,44,13,-,4,5,1,1,-,4,-,7,-,-,6,45,-,-,-,131,302,20,10,-,80,70,6,1,6,16,7,-,3,3,1,-,1,2,2,5,-,-,-,-,-,-,-,69
"손괴",56558,3010,2698,26,21304,749,273,620,2064,666,107,179,68,92,21,48,21,99,87,67,91,141,1125,67,1,4,13,22917,56988,5581,4285,25,23791,1464,856,1537,3854,832,152,228,79,178,32,143,34,158,128,100,156,246,1265,102,4,1,36,11721,58468,7087,4793,39,23648,1483,914,1501,3981,820,188,274,90,171,38,151,40,153,170,118,171,195,1414,85,-,5,35,10904,58504,7577,4583,37,22937,1442,853,1669,3568,788,174,227,94,173,36,138,36,162,123,104,142,161,1428,93,3,3,25,11928,54397,8158,4453,20,20563,1309,756,2157,2216,738,151,208,85,145,27,144,32,191,104,98,121,147,1455,31,-,2,24,11062
"살인",858,182,161,2,136,4,1,34,40,21,3,-,2,1,-,6,-,5,1,1,9,3,7,5,-,-,-,234,849,214,192,1,128,17,2,28,58,26,5,4,3,2,-,11,2,4,1,1,17,3,9,1,1,-,1,118,847,228,174,-,145,9,1,27,49,14,5,1,-,3,-,5,-,9,1,-,25,1,17,3,-,-,1,129,805,211,172,-,138,11,5,17,36,24,3,1,1,1,-,3,-,4,-,1,16,4,7,3,-,-,1,146,692,211,124,2,132,9,1,30,33,16,5,5,-,1,-,6,-,2,1,-,19,1,4,1,-,-,-,89
"강도",990,83,87,1,261,119,5,71,62,25,3,1,1,2,-,6,1,6,5,10,1,5,7,1,-,-,-,227,841,78,85,-,252,137,1,80,58,23,3,2,1,3,1,9,1,5,1,15,2,3,4,2,-,-,-,75,845,106,89,1,221,115,8,79,53,21,1,-,3,4,1,8,-,7,-,4,6,1,7,-,-,-,1,109,692,79,54,1,164,115,15,63,62,19,-,2,1,1,-,10,-,6,1,2,1,1,4,-,-,-,-,91,511,78,47,1,114,87,3,47,27,15,2,-,1,2,-,4,-,3,1,2,3,1,4,-,-,-,-,69
"방화",1358,203,227,-,174,11,6,14,33,28,16,12,14,2,1,2,1,13,11,4,8,14,11,1,-,-,-,552,1478,349,347,-,223,35,26,27,67,49,20,12,13,4,2,5,-,11,8,4,20,13,17,1,-,-,1,224,1345,352,298,-,237,25,27,46,55,46,16,6,6,4,1,2,3,10,9,2,12,7,29,-,-,-,4,148,1210,288,317,-,178,28,30,46,53,47,12,7,8,3,1,5,-,13,11,5,13,13,12,-,-,-,-,120,1025,272,242,-,150,19,17,40,27,31,13,5,12,4,1,1,-,20,7,1,12,8,15,4,-,-,-,124
"성폭력",32824,2845,2431,20,4448,798,185,2673,2588,596,55,13,19,1481,1692,1035,79,284,491,20,292,61,39,3,15,29,3,10629,32104,3679,3030,27,3928,1049,336,3397,4018,690,46,18,18,1249,1545,1359,112,323,581,19,318,78,50,2,18,47,3,6164,32029,4127,2790,20,3909,1125,308,3556,4281,659,62,20,17,1132,1541,1271,123,331,585,15,396,86,43,3,17,34,2,5576,30105,4391,2886,13,3533,1125,304,3414,3874,715,51,17,17,795,891,1089,107,269,349,22,413,57,36,7,22,34,4,5670,32898,5541,3571,18,3378,1062,262,3271,2190,852,70,13,17,789,1024,1040,104,282,423,11,436,46,44,2,16,34,3,8399
