"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"계",소계,65784,6621,2200,1064,62,55,7,3233,681,6,181,2936,513,13278,246,2639,10650,28033,65907,6693,2245,974,114,42,11,3307,703,9,223,3116,457,13336,182,2295,10819,28074,64152,8778,3025,1181,135,80,20,4337,934,25,299,6456,664,14139,250,3030,12358,17219,53760,7982,2890,984,167,81,18,3842,919,42,430,7179,803,14893,279,3343,12565,5325,60691,8260,2953,937,138,77,4,4151,1048,46,411,7196,905,17751,279,3782,14802,6211
"강력범죄",소계,2267,109,31,24,-,-,1,53,6,2,3,228,64,676,7,23,470,679,2358,189,36,46,-,-,2,105,5,-,4,260,60,628,3,25,592,592,1898,232,35,57,3,-,3,134,11,1,3,259,40,499,9,19,430,395,1648,149,29,58,1,-,-,61,16,-,8,263,43,480,3,26,471,189,1808,155,26,43,2,-,-,84,17,-,-,301,37,491,4,38,474,291
"강력범죄",살인기수,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,1,9,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,5,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,5,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,6,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,3
"강력범죄",살인미수등,4,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,10,-,-,-,-,-,-,-,-,-,2,-,-,5,1,-,1,1,7,-,-,-,-,-,-,-,-,-,1,-,-,2,2,-,2,-,6,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,3,-,9,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,3
"강력범죄",강도,214,73,31,24,-,-,-,18,1,1,1,1,4,37,1,-,25,70,361,152,34,46,-,-,2,70,5,-,-,9,-,34,-,-,61,100,321,172,31,52,3,-,3,83,6,1,-,6,1,42,2,1,20,70,175,113,29,56,1,-,-,27,7,-,1,4,1,22,2,2,21,2,169,110,23,43,2,-,-,42,5,-,-,2,1,17,1,-,32,1
"강력범죄",강간,752,17,-,-,-,-,1,16,3,1,-,65,30,191,1,10,173,261,638,14,-,-,-,-,-,14,-,-,1,65,25,170,-,3,184,176,565,28,1,5,-,-,-,22,2,-,-,65,14,134,1,1,174,146,519,19,-,2,-,-,-,17,5,-,1,53,20,154,-,3,174,90,468,19,1,-,-,-,-,18,3,-,-,53,15,114,1,4,138,121
"강력범죄",유사강간,128,2,-,-,-,-,-,2,-,-,-,14,5,45,-,-,32,30,140,2,-,-,-,-,-,2,-,-,-,18,3,43,-,2,41,31,94,3,-,-,-,-,-,3,1,-,-,18,5,30,-,1,23,13,105,4,-,-,-,-,-,4,-,-,-,16,3,35,-,-,29,18,95,2,-,-,-,-,-,2,-,-,-,17,4,28,-,-,31,13
