죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
계,소계,1581922,135729,50522,3915,1883,365,1053,77991,17034,297,20314,9384,6805,261774,5984,196869,386117,541615,1585638,144146,52017,3628,2115,354,670,85362,18666,305,22845,10375,6300,270465,5958,188815,363138,554625,1494421,137185,49856,3755,2172,318,438,80646,16916,324,20135,13367,5840,257580,5463,168145,347240,522226,1247680,111711,43156,2437,2110,280,332,63396,12457,379,23208,13438,5528,238243,4327,152899,314789,370701,1250330,110149,43584,2274,2241,341,230,61479,11839,366,20357,13985,5835,262842,4681,157601,338963,323712
강력범죄,소계,28302,1160,242,67,13,-,10,828,63,15,210,1021,762,10224,219,631,7504,6493,28943,1390,249,122,11,1,15,992,88,24,206,1117,735,9801,174,738,7812,6858,26971,1165,177,91,8,-,12,877,107,20,192,928,649,9228,158,631,7199,6694,22992,869,152,69,7,1,10,630,89,14,175,789,596,7757,130,519,6902,5152,25017,886,131,74,16,5,4,656,84,14,132,866,525,8381,144,573,7350,6062
강력범죄,살인기수,350,6,1,1,-,-,1,3,-,2,33,-,1,115,21,-,94,78,345,6,1,-,-,-,2,3,1,6,24,-,-,101,22,2,89,94,341,5,2,-,-,-,2,1,1,6,23,-,3,116,11,3,82,91,307,10,-,-,-,-,3,7,-,4,26,-,-,87,15,1,81,83,298,11,2,-,1,1,-,7,1,4,17,1,-,98,13,2,66,85
강력범죄,살인미수등,516,10,1,-,-,-,1,8,-,2,36,-,1,258,29,1,117,62,525,3,-,-,-,-,1,2,-,9,43,-,-,215,28,3,139,85,454,6,1,-,-,-,1,4,-,4,35,-,-,189,33,6,99,82,409,10,1,-,-,-,2,7,-,6,34,-,-,159,24,1,117,58,429,5,-,-,1,-,-,4,-,4,29,1,-,172,29,3,120,66
강력범죄,강도,1165,470,217,64,12,-,-,177,22,3,2,5,13,241,11,4,205,189,1336,614,207,118,9,1,5,274,28,-,3,12,5,199,5,10,240,220,1202,507,152,83,8,-,4,260,27,1,3,8,7,230,3,8,196,212,748,347,130,67,5,-,-,145,21,-,3,5,2,118,3,2,153,94,764,381,113,72,13,1,2,180,13,-,3,3,2,124,7,3,155,73
강력범죄,강간,5947,212,8,1,1,-,4,198,10,2,35,180,237,1562,15,58,1427,2209,6138,233,14,2,1,-,-,216,11,-,38,194,216,1556,15,45,1573,2257,6113,227,8,6,-,-,3,210,23,2,34,190,189,1517,15,59,1601,2256,5593,171,7,2,2,-,-,160,22,1,33,169,249,1390,12,55,1627,1864,5606,173,4,1,1,1,2,164,17,3,17,199,196,1349,8,60,1560,2024
강력범죄,유사강간,848,31,1,-,-,-,-,30,4,1,4,40,38,305,-,10,228,187,895,35,2,2,-,-,1,30,2,-,6,57,34,292,1,13,230,225,934,36,1,-,-,-,-,35,8,-,4,40,40,299,2,10,259,236,834,20,-,-,-,-,1,19,3,-,3,46,30,277,-,7,249,199,917,18,-,-,-,-,-,18,4,-,4,51,25,321,1,12,285,196
