"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"계",소계,7244,583,145,29,5,1,0,403,68,12,136,201,106,2991,182,295,2564,106,7763,651,189,23,5,5,2,427,60,9,216,187,112,3208,204,296,2709,111,9019,755,203,14,3,1,-,534,66,4,230,222,149,3588,202,374,3356,73,8850,718,204,11,3,2,1,497,61,15,275,154,151,3587,175,354,3354,6,9875,787,198,14,6,4,565,78,10,269,218,109,4056,218,332,3794,4
"강력범죄",소계,639,21,1,-,1,-,-,19,2,2,11,63,15,259,23,7,228,8,600,18,2,-,-,-,1,15,2,-,6,55,7,243,15,9,240,5,596,17,2,2,1,-,-,12,1,1,14,40,9,248,23,16,221,6,545,11,-,-,-,-,-,11,2,1,12,30,15,237,16,13,208,-,567,26,4,-,-,-,22,1,1,9,46,10,225,23,15,211,-
"강력범죄",살인기수,28,-,-,-,-,-,-,-,-,1,2,-,-,15,-,-,10,-,20,-,-,-,-,-,-,-,-,-,1,-,-,9,1,-,9,-,21,-,-,-,-,-,-,-,-,1,-,-,-,10,1,-,9,-,20,-,-,-,-,-,-,-,-,-,1,-,-,9,1,-,9,-,15,-,-,-,-,-,-,-,1,1,-,-,5,2,1,5,-
"강력범죄",살인미수등,31,1,-,-,-,-,-,1,-,-,4,-,-,13,1,-,12,-,35,-,-,-,-,-,-,-,-,-,1,-,-,12,2,-,20,-,29,1,-,-,-,-,-,1,-,-,5,-,-,11,6,-,6,-,30,-,-,-,-,-,-,-,-,1,6,-,-,9,3,-,11,-,29,-,-,-,-,-,-,-,-,3,-,-,10,5,-,11,-
"강력범죄",강도,32,11,1,-,1,-,-,9,2,-,-,-,-,12,-,-,6,1,25,6,2,-,-,-,-,4,1,-,-,-,-,9,-,-,8,1,37,11,1,2,1,-,-,7,1,-,-,-,1,11,-,2,11,-,14,1,-,-,-,-,-,1,-,-,-,-,1,3,-,-,9,-,27,11,4,-,-,-,7,-,-,-,-,-,8,-,-,8,-
"강력범죄",강간,23,-,-,-,-,-,-,-,-,-,-,2,1,9,-,1,10,-,21,1,-,-,-,-,-,1,-,-,-,1,-,5,-,-,14,-,34,-,-,-,-,-,-,-,-,-,-,-,-,15,-,4,15,-,24,-,-,-,-,-,-,-,2,-,-,2,2,3,-,-,15,-,26,2,-,-,-,-,2,-,-,-,3,2,9,-,-,10,-
"강력범죄",유사강간,8,1,-,-,-,-,-,1,-,-,-,5,-,1,-,-,1,-,10,-,-,-,-,-,-,-,-,-,-,4,1,4,-,-,1,-,9,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,5,-,9,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,6,-,7,-,-,-,-,-,-,-,-,-,1,-,2,-,-,4,-
