"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과
"계",소계,1328609,445309,24174,30166,152679,216045,196725,81804,62144,119563,1342854,398658,23087,29732,163576,241449,224458,90758,64063,107073,1289129,334645,21178,28117,161200,242976,234199,97092,64299,105423,1136665,273973,16159,21363,138607,225817,221480,97820,62802,78644,1133788,249633,12965,17493,117857,223913,250846,108466,70206,82409
"강력범죄",소계,25811,8721,316,369,2269,5227,4570,1381,1075,1883,25507,7964,288,377,2166,5671,5163,1472,907,1499,23556,5685,283,287,1909,5448,5776,1589,944,1635,21294,4553,190,225,1496,4719,6012,1606,979,1514,23521,4918,187,205,1566,4993,7067,2107,1029,1449
"강력범죄",살인기수,298,186,14,8,18,16,21,14,5,16,299,176,18,7,23,18,23,13,5,16,299,185,18,9,20,13,22,14,6,12,261,167,7,7,15,23,16,5,6,15,265,185,5,8,11,10,11,14,9,12
"강력범죄",살인미수등,484,366,8,7,24,18,16,13,10,22,481,360,6,4,20,26,24,11,11,19,406,286,9,8,25,19,24,10,7,18,380,285,5,3,14,14,31,9,5,14,416,319,5,4,15,20,20,11,7,15
"강력범죄",강도,821,341,36,19,96,132,84,40,16,57,801,360,27,33,93,102,101,33,17,35,658,271,26,16,64,85,92,49,25,30,487,206,22,15,64,60,62,26,9,23,507,249,21,12,51,58,58,23,11,24
"강력범죄",강간,5206,960,55,66,407,1147,1188,408,369,606,5197,950,59,73,387,1162,1268,458,297,543,5183,721,54,57,332,1073,1528,466,336,616,4981,702,34,49,249,963,1565,524,380,515,5151,668,36,43,230,855,1709,708,387,515
"강력범죄",유사강간,758,161,14,12,73,161,152,54,57,74,768,145,10,6,50,199,188,70,40,60,796,118,11,9,60,189,226,70,39,74,783,136,5,7,38,170,229,74,52,72,894,113,2,8,35,180,325,109,45,77
"강력범죄",강제추행,16324,5776,147,223,1515,3554,2901,766,573,869,16395,5109,137,225,1474,3965,3397,823,516,749,14864,3422,134,155,1278,3888,3727,920,511,829,13215,2457,99,125,1028,3335,3930,911,503,827,14953,2708,94,109,1111,3704,4752,1176,541,758
"강력범죄",기타 강간·강제추행등,356,87,9,7,37,51,48,17,11,89,326,91,8,7,25,57,47,21,7,63,235,43,7,5,18,35,42,23,13,49,238,71,5,1,16,27,46,12,13,47,224,44,2,-,20,35,52,19,15,37
"강력범죄",방화,1564,844,33,27,99,148,160,69,34,150,1240,773,23,22,94,142,115,43,14,14,1115,639,24,28,112,146,115,37,7,7,949,529,13,18,72,127,133,45,11,1,1111,632,22,21,93,131,140,47,14,11
"절도범죄",소계,106669,19325,3068,2985,18922,30312,20579,5823,2624,3031,113673,18371,2896,3028,20441,33217,23762,6341,3064,2553,111246,15691,2589,2873,20244,33052,24691,7048,2825,2233,104013,12964,2285,2495,18683,32825,24286,6562,2233,1680,113705,12881,2112,2196,18376,35994,30015,7549,2597,1985
