"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과
"계",소계,1580751,305849,43682,57086,65168,60666,71683,152675,149549,235469,186070,252854,1611906,276491,38503,52250,64866,62345,70870,154587,160944,262778,214633,253639,1587866,244307,31440,42829,58449,58248,66027,147970,164534,275543,226765,271754,1429826,214147,25045,33654,51006,54224,56068,124467,143663,261908,218945,246699,1482433,207786,23147,33139,58529,57695,54223,115676,136684,276761,250042,268751
"강력범죄",소계,26787,4165,1084,1764,1536,1231,1378,2706,2372,3984,2839,3728,26476,3794,992,1577,1566,1285,1454,2735,2563,4343,2993,3174,24332,2862,705,1165,1356,1163,1314,2616,2462,4332,3002,3355,22476,2325,474,888,1262,1250,1124,2306,2315,4137,3030,3365,24954,2548,517,948,1339,1392,1302,2468,2482,4833,3713,3412
"강력범죄",살인기수,309,69,12,25,34,43,25,23,11,9,22,36,297,60,16,27,48,30,14,19,8,16,27,32,308,66,9,19,47,46,27,22,4,18,26,24,270,60,8,14,48,36,14,21,6,18,17,28,275,50,11,21,49,40,25,15,7,10,9,38
"강력범죄",살인미수등,488,138,21,65,80,64,31,12,12,16,15,34,482,138,15,69,80,58,38,11,8,17,16,32,416,91,15,57,74,57,28,24,12,13,15,30,388,89,16,39,74,65,30,19,8,14,14,20,427,78,9,47,92,72,37,19,15,13,16,29
"강력범죄",강도,821,170,26,74,118,63,57,72,49,84,52,56,798,154,22,68,94,73,64,72,58,92,55,46,663,101,27,50,67,69,56,58,56,72,44,63,495,78,15,33,69,47,47,54,34,49,40,29,516,88,15,47,70,63,52,37,33,39,35,37
"강력범죄",강간,5293,417,104,241,302,250,287,529,441,820,707,1195,5310,416,98,222,333,257,333,534,490,853,700,1074,5313,398,76,187,290,249,308,540,479,849,765,1172,5263,366,79,153,311,320,281,489,483,784,818,1179,5467,341,73,156,305,302,307,523,432,891,913,1224
"강력범죄",유사강간,776,75,12,35,46,41,46,79,70,109,98,165,782,58,11,41,42,26,46,97,70,123,120,148,823,49,19,29,58,41,44,83,78,144,122,156,814,50,9,35,45,46,49,83,69,146,124,158,947,82,19,32,50,55,59,81,75,166,146,182
"강력범죄",강제추행,17053,2901,826,1149,807,619,827,1829,1678,2751,1756,1910,17120,2620,768,992,809,695,841,1881,1812,3065,1922,1715,15344,1888,511,726,666,589,758,1747,1734,3045,1882,1798,13962,1481,314,536,565,615,631,1528,1616,2960,1861,1855,15864,1652,340,536,634,737,724,1672,1817,3543,2415,1794
