"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관에서이송,범행도구발견,장물,전과조회,기타,계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관에서이송,범행도구발견,장물,전과조회,기타,계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관에서이송,범행도구발견,장물,전과조회,기타,계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관에서이송,범행도구발견,장물,전과조회,기타,계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,타기관에서이송,범행도구발견,장물,전과조회,기타
"계",소계,1328609,95766,457162,205260,55189,13376,228,85650,119320,616,103129,59221,288,533,595,566,23,2003,1144,158,697,70,127615,1342854,84049,482798,207446,54450,12146,306,95380,125251,904,79812,57180,255,765,518,509,13,2215,1638,161,402,104,136552,1289129,64530,469344,204857,47611,13091,248,103458,132130,769,59437,49078,182,440,464,340,6,3078,1374,132,336,101,138123,1136665,48461,418670,171492,43034,9043,270,83445,122691,1100,50078,49115,165,437,399,277,2,468,1779,174,173,92,135300,1133788,53169,388614,180776,46794,6662,205,92522,128386,1280,51007,55570,205,400,401,393,20,2127,162,159,81,124855
"강력범죄",소계,25811,3046,12410,5818,111,118,17,232,2095,8,83,888,6,44,87,11,-,68,14,8,-,1,746,25507,2398,12240,6169,86,106,22,248,2282,6,138,714,5,30,95,16,1,60,25,2,-,-,864,23556,1703,10925,7197,78,90,14,289,1897,20,48,470,3,24,77,5,1,53,21,8,-,1,632,21294,1283,9615,6767,84,73,14,277,1924,2,24,436,3,25,66,2,-,13,12,5,-,-,669,23521,1465,10845,6889,135,101,11,392,2215,8,18,489,2,16,66,2,0,19,2,0,1,845
"강력범죄",살인기수,298,52,16,17,2,18,1,-,76,2,-,19,1,-,65,-,-,1,-,-,-,-,28,299,37,8,21,3,19,-,1,87,-,1,16,1,-,79,-,1,1,-,1,-,-,23,299,43,22,15,2,26,-,-,79,-,-,12,-,2,63,-,1,-,-,3,-,-,31,261,48,16,20,2,8,-,2,58,-,-,12,-,3,60,-,-,-,1,1,-,-,30,265,36,6,15,3,27,1,1,78,1,-,8,-,-,53,-,-,1,-,-,-,35
"강력범죄",살인미수등,484,180,94,36,3,17,1,-,106,-,2,21,1,-,3,-,-,2,2,2,-,-,14,481,165,96,40,2,16,1,2,107,-,2,19,1,-,1,-,-,2,-,-,-,-,27,406,133,103,35,6,10,-,-,86,-,-,10,-,-,1,-,-,1,-,3,-,-,18,380,121,92,33,2,5,1,-,88,-,-,11,-,1,2,-,-,-,1,3,-,-,20,416,159,83,47,-,11,-,-,79,-,-,10,-,-,1,-,-,-,1,-,-,25
"강력범죄",강도,821,108,434,37,-,6,2,2,27,4,2,132,2,8,3,2,-,-,2,1,-,-,49,801,84,408,44,1,2,1,5,39,1,7,122,2,5,7,13,-,3,1,-,-,-,56,658,74,332,61,2,4,4,10,31,9,3,93,1,5,3,-,-,-,-,-,-,-,26,487,60,245,46,1,1,4,4,28,-,4,51,1,3,1,1,-,-,-,-,-,-,37,507,79,253,51,1,2,3,1,23,-,2,61,-,2,4,1,-,-,-,-,-,24
"강력범죄",강간,5206,203,2226,1932,14,20,-,52,383,-,4,167,1,9,7,2,-,25,1,2,-,1,157,5197,197,2216,1974,16,9,1,60,412,1,2,125,-,7,1,-,-,23,10,-,-,-,143,5183,165,1975,2277,19,10,1,81,373,4,3,90,1,7,2,-,-,16,6,-,-,-,153,4981,122,1939,2130,21,13,2,76,433,1,1,80,-,4,-,-,-,3,4,-,-,-,152,5151,138,2013,2078,81,10,-,110,445,1,1,79,-,4,2,-,-,5,-,-,-,184
"강력범죄",유사강간,758,42,342,240,3,4,-,8,76,-,-,15,-,-,-,1,-,4,-,-,-,-,23,768,25,327,281,4,2,-,8,64,-,-,21,-,-,-,-,-,1,-,-,-,-,35,796,19,332,329,4,3,-,12,71,-,1,6,-,1,-,-,-,2,-,-,-,-,16,783,17,319,332,2,3,-,9,69,-,1,12,-,1,-,-,-,-,1,-,-,-,17,894,27,356,345,2,4,-,20,90,1,1,14,-,1,-,-,-,1,-,-,-,32
"강력범죄",강제추행,16324,2008,8456,3473,86,25,12,165,1154,1,73,445,-,11,1,4,-,34,7,-,-,-,369,16395,1482,8659,3717,55,31,16,168,1278,2,124,321,1,4,-,1,-,30,13,-,-,-,493,14864,944,7647,4383,44,25,8,180,1009,7,36,207,1,3,2,1,-,32,15,1,-,1,318,13215,653,6559,4124,54,27,7,182,1023,1,15,204,2,3,1,-,-,10,3,-,-,-,347,14953,733,7633,4259,47,26,7,252,1276,2,14,235,1,4,3,1,-,12,-,-,1,447
"강력범죄",기타 강간·강제추행등,356,22,172,71,-,-,-,3,36,-,1,15,-,14,4,-,-,2,-,-,-,-,16,326,18,129,80,1,2,1,3,48,-,-,16,-,10,2,-,-,-,1,-,-,-,15,235,11,96,83,-,-,-,3,24,-,-,6,-,1,-,1,-,1,-,-,-,-,9,238,11,95,71,1,2,-,2,27,-,-,10,-,8,1,-,-,-,1,-,-,-,9,224,8,91,74,-,-,-,4,22,-,-,8,-,4,-,-,-,-,-,-,-,13
"강력범죄",방화,1564,431,670,12,3,28,1,2,237,1,1,74,1,2,4,2,-,-,2,3,-,-,90,1240,390,397,12,4,25,2,1,247,2,2,74,-,4,5,2,-,-,-,1,-,-,72,1115,314,418,14,1,12,1,3,224,-,5,46,-,5,6,3,-,1,-,1,-,-,61,949,251,350,11,1,14,-,2,198,-,3,56,-,2,1,1,-,-,1,1,-,-,57,1111,285,410,20,1,21,-,4,202,3,-,74,1,1,3,-,-,-,1,-,-,85
"절도범죄",소계,106669,5300,70562,2560,73,488,138,551,1702,316,528,15974,213,297,4,453,18,44,72,46,457,19,6854,113673,5230,76164,2880,72,458,136,566,1865,401,432,16594,188,298,6,406,6,36,62,68,269,21,7515,111246,4646,75552,3016,92,431,155,671,1900,305,445,15882,115,184,3,190,1,40,60,39,227,21,7271,104013,3872,73103,2868,61,442,174,815,1465,292,271,13635,115,144,2,167,1,7,42,46,112,20,6359,113705,3502,79998,2689,76,412,130,973,1578,183,284,15618,164,147,2,172,12,60,46,125,13,7521
"폭력범죄",소계,251586,43140,153297,27922,207,417,9,2230,14314,50,59,3445,14,40,40,14,2,182,87,6,1,4,6106,252877,35450,161548,27066,222,456,19,1994,15323,49,48,3394,15,35,42,9,-,227,83,9,-,6,6882,230773,24493,151158,26457,287,450,7,2302,14285,49,56,3622,22,26,35,2,1,224,60,10,-,4,7223,200808,17543,133614,23503,221,423,15,2313,13049,55,53,3191,13,23,36,5,-,28,57,14,-,7,6645,209789,18256,139488,23257,218,478,5,2856,13830,277,51,3733,10,28,26,7,2,94,14,0,7,7152
"폭력범죄",상해,38737,5164,20525,8077,32,94,-,388,3044,7,10,464,1,1,12,1,-,49,24,-,-,-,844,35995,4241,19694,6984,25,77,4,300,3272,6,3,385,-,3,19,-,-,40,20,1,-,2,919,32042,2975,17837,6445,32,91,2,301,2967,6,9,373,-,1,12,-,-,36,13,4,-,-,938,27657,2273,15701,5310,27,81,-,288,2744,6,5,362,1,-,16,-,-,4,14,2,-,-,823,26027,2213,14622,4782,21,80,1,357,2686,24,9,362,-,2,12,-,-,20,1,-,2,833
"폭력범죄",폭행,151384,28099,98349,10431,44,178,5,871,8559,25,21,1080,1,9,24,-,-,47,42,-,1,2,3596,149461,22206,101983,10341,63,207,5,710,8883,25,16,1011,2,8,19,-,-,73,40,2,-,4,3863,132352,14605,93198,9836,72,183,3,823,8257,27,11,1208,4,4,18,-,-,59,32,-,-,2,4010,110292,9574,79041,8736,42,153,2,803,7185,27,18,988,1,3,17,1,-,11,23,4,-,4,3659,118817,9895,84561,9625,44,216,1,1157,7750,162,12,1423,1,1,11,1,2,46,4,-,2,3903
"폭력범죄",체포・감금,1139,172,536,234,11,1,-,13,120,1,1,19,-,-,-,-,-,3,1,-,-,-,27,1192,143,624,227,10,-,-,12,125,-,-,23,-,-,-,-,-,-,-,-,-,-,28,1139,129,531,285,8,1,-,10,103,-,-,15,1,-,-,-,-,9,-,-,-,-,47,1083,110,594,202,8,2,-,9,111,-,-,22,-,-,-,-,-,-,1,-,-,-,24,1042,90,516,232,7,2,-,25,118,-,1,12,-,-,-,-,-,3,-,-,-,36
"폭력범죄",협박,16155,2736,8293,3636,24,19,1,289,458,1,16,184,-,-,1,1,-,33,7,-,-,1,455,19807,2939,11093,3832,21,20,1,284,706,4,20,166,-,-,1,-,-,43,5,2,-,-,670,19876,2359,11188,4201,24,21,-,343,736,2,15,169,-,1,2,-,-,37,8,-,-,-,770,19727,2182,11480,3859,26,38,-,343,816,4,13,207,-,2,-,-,-,5,5,4,-,-,743,20341,2525,11857,3535,25,31,1,379,889,21,17,189,-,1,1,-,-,8,3,-,1,858
"폭력범죄",약취・유인,167,12,72,32,3,1,-,2,20,-,-,17,-,-,-,-,-,-,-,-,-,-,8,224,10,95,57,1,1,-,-,33,-,-,13,-,-,-,-,-,1,1,-,-,-,12,186,6,71,55,4,-,-,2,33,-,-,5,-,-,-,-,-,1,-,-,-,-,9,220,8,88,48,2,-,-,5,29,-,-,16,-,-,1,-,-,-,1,-,-,-,22,248,6,100,62,3,-,-,6,37,-,-,18,-,-,-,-,-,1,-,-,-,15
"폭력범죄",폭력행위등,8694,1123,4551,1238,17,8,1,93,961,5,1,380,1,5,1,7,-,13,6,-,-,-,283,7945,828,4197,1225,19,12,4,62,927,4,1,363,4,1,1,-,-,19,4,-,-,-,274,7073,503,3858,1202,22,12,-,81,804,2,1,269,2,1,1,-,-,25,3,1,-,-,286,6155,342,3436,1071,26,8,1,88,682,3,-,244,-,-,1,2,-,2,6,-,-,-,243,6401,312,3652,1004,27,10,-,106,794,9,2,248,-,1,-,1,-,5,-,-,-,230
