"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"계",소계,1662341,111172,98922,97823,202798,166767,178130,189354,258892,358483,1580751,99089,89509,87417,179038,157707,166467,172965,223374,405185,1611906,94095,86471,88488,183235,169090,172107,175503,204508,438409,1587866,86398,81043,81052,174325,172610,177378,176642,190384,448034,1429826,57763,50928,68799,147157,164739,171860,171036,194712,402832,1482433,71808,65179,69113,135849,159299,166585,162138,194969,457493
"강력범죄",소계,27274,3182,3377,2205,1992,2064,2475,3296,4469,4214,26787,2944,3252,1957,2005,2041,2406,3115,4335,4732,26476,2920,3316,1977,1799,1966,2447,3089,4215,4747,24332,2642,2754,1478,1736,1913,2203,2864,4160,4582,22476,1908,1752,1204,1542,1912,2254,2946,4550,4408,24954,2318,2252,1459,1644,1909,2342,3009,4675,5346
"강력범죄",살인기수,301,20,28,31,21,38,38,53,43,29,309,24,22,27,36,32,27,49,37,55,297,15,21,20,28,38,33,43,49,50,308,20,30,23,29,23,34,53,34,62,270,18,17,17,29,24,32,49,38,46,275,16,29,24,25,28,36,16,35,66
"강력범죄",살인미수등,524,47,41,44,62,47,62,72,98,51,488,41,34,36,40,41,49,83,101,63,482,33,50,29,44,46,60,66,82,72,416,35,27,40,38,34,49,46,78,69,388,21,33,24,42,30,42,59,62,75,427,36,33,30,48,35,45,46,76,78
"강력범죄",강도,967,132,162,58,69,74,87,99,134,152,821,110,134,49,75,64,67,89,97,136,798,105,131,44,59,68,72,81,107,131,663,80,93,34,57,63,71,61,90,114,495,38,54,28,47,51,55,57,92,73,516,43,69,25,44,40,62,68,75,90
"강력범죄",강간,5223,720,886,383,353,309,330,397,688,1157,5293,665,865,375,341,330,349,422,676,1270,5310,630,885,417,293,325,311,425,719,1305,5313,636,750,358,337,331,326,457,731,1387,5263,600,613,264,238,327,333,478,942,1468,5467,603,653,280,289,325,356,469,856,1636
"강력범죄",유사강간,636,82,101,58,43,49,50,51,73,129,776,96,129,71,48,47,53,59,120,153,782,102,110,57,62,60,55,66,89,181,823,96,127,58,54,45,59,70,142,172,814,107,125,48,33,49,62,76,127,187,947,113,132,55,52,43,58,91,143,260
"강력범죄",강제추행,17947,1994,1981,1527,1309,1363,1730,2398,3142,2503,17053,1803,1865,1269,1169,1302,1627,2163,3007,2848,17120,1855,1921,1293,1163,1300,1706,2189,2901,2792,15344,1619,1568,882,1096,1271,1521,1972,2834,2581,13962,992,798,737,1050,1317,1596,2065,3016,2391,15864,1368,1192,939,1062,1299,1640,2111,3230,3023
